SKU,Actual_Akwa_SKU,Product_Name,Cost_Excl_VAT,Cost_Incl_VAT,Selling_Price_30pct_Markup,Akwa_MAP_Price
LED0010,LED0010,LED LIGHT 5W (WHITE & BLUE),142.20,163.53,212.59,
LED0011,LED0011,LED LIGHT 5W (MULTI COLOUR),142.20,163.53,212.59,
LED0105,LED0105,DOPHIN CLAMP LED MINI TANK,280.95,323.09,420.02,
LED1088R,LED1088R,DOPHIN LED-1088 RGB 35cm 12W,356.50,409.97,532.96,
LED1089B,LED1089B,DOPHIN LED-1089 BioLux 45cm 17W,429.35,493.75,641.88,
LED1089M,LED1089M,DOPHIN LED-1089 Marine 45cm 17W,429.35,493.75,641.88,
LED1089R,LED1089R,DOPHIN LED-1089 RGB 45cm 17W,429.35,493.75,641.88,
LED1090M,LED1090M,DOPHIN LED-1090 Marine 60cm 20W,543.75,625.31,812.90,
LED1090R,LED1090R,DOPHIN LED-1090 RGB 60cm 20W,543.75,625.31,812.90,
FG0300,FG0300,FULLGAIN FLAT LED 10W 30cm,299.00,343.85,447.01,618.95
FG0301,FG0450,FULLGAIN FLAT LED 14W 45cm,389.30,447.70,581.99,805.85
FG0302,FG0600,FULLGAIN FLAT LED 18W 60cm - CHECK SKU,N/A,N/A,N/A,
FG0303,FG0750,FULLGAIN FLAT LED 22W 75cm,580.35,667.40,867.62,1201.30
FG0304,FG0900,FULLGAIN FLAT LED 26W 90cm,700.60,805.69,1047.40,1450.25
LED4200W,LED4200W,Ocean Max LED T4-200 White 4W,86.40,99.36,129.17,
LED4200BW,LED4200BW,Ocean Max LED T4-200 Blue White 4W,86.40,99.36,129.17,
LED4300W,LED4300W,Ocean Max LED T4-300 White 6W,94.55,108.73,141.35,
LED4300BW,LED4300BW,Ocean Max LED T4-300 Blue White 6W,94.55,108.73,141.35,
LED4400W,LED4400W,Ocean Max LED T4-400 White 7.5W,99.85,114.83,149.28,
LED4400BW,LED4400BW,Ocean Max LED T4-400 Blue White 7.5W,99.85,114.83,149.28,
LED4500W,LED4500W,Ocean Max LED T4-500 White 8W,109.75,126.21,164.07,
LED4500BW,LED4500BW,Ocean Max LED T4-500 Blue White 8W,109.75,126.21,164.07,
LED4600W,LED4600W,Ocean Max LED T4-600 White 10W,143.00,164.45,213.78,
LED4600BW,LED4600BW,Ocean Max LED T4-600 Blue White 10W,117.90,135.59,176.27,
LED4800W,LED4800W,Ocean Max LED T4-800 White 13.6W,138.95,159.79,207.73,
LED4800BW,LED4800BW,Ocean Max LED T4-800 Blue White 13.6W,159.95,183.94,239.12,
LED41000W,LED41000W,Ocean Max LED T4-1000 White 16.5W,180.95,208.09,270.52,
LED41000BW,LED41000BW,Ocean Max LED T4-1000 Blue White 16.5W,159.95,183.94,239.12,
HTR0202,HTR0202,DOPHIN 25W HEATER,149.05,171.41,222.83,
HTR0205,HTR0205,DOPHIN 50W HEATER,149.05,171.41,222.83,
HTR0210,HTR0210,DOPHIN 100W HEATER,155.70,179.05,232.77,
HTR0215,HTR0215,DOPHIN 150W HEATER 300mm,155.70,179.05,232.77,
HTR0220,HTR0220,DOPHIN 200W HEATER 310mm,169.35,194.75,253.18,
HTR0230,HTR0230,DOPHIN 300W HEATER 360mm,169.35,194.75,253.18,
HTR0250,HTR0250,DOPHIN 500W HEATER,213.50,245.52,319.18,
HTR0600,HTR0600,SunSun XRB-600W HEATER,492.85,566.78,736.81,
HTR1000,HTR1000,SunSun XRB-1000W HEATER,492.85,566.78,736.81,
APS0505,APS0505,AC/DC AIR PUMP APQ-505 510L/H,1091.35,1255.05,1631.57,
APS0510,APS0510,AC/DC AIR PUMP APQ-510 1020L/H,1091.35,1255.05,1631.57,
APS0203,APS0203,AC/DC AIR PUMP JT-203S 240L/H,411.10,472.76,614.59,
GRC0001,GC0154,GRAVEL CLEANER SMALL 250mm,75.55,86.88,112.94,156.40
GRC0002,GC0155,GRAVEL CLEANER LARGE 350mm,89.20,102.58,133.35,184.65
MAG0001,MC0060,DOPHIN FLOATING MAGNET CLEANER SMALL,86.20,99.13,128.87,178.45
MAG0002,MC0061,DOPHIN FLOATING MAGNET CLEANER MEDIUM,130.50,150.07,195.10,270.15
MAG0003,MC0062,DOPHIN FLOATING MAGNET CLEANER LARGE,156.10,179.51,233.37,323.15
SCR0001,AA0532,DOPHIN AQUARIUM SCRAPER MC-101,46.90,53.94,70.12,97.10
AFM0102,AFM0102,ACTIVATED CARBON 500ml,49.55,56.98,74.07,
AFM0103,AFM0103,ACTIVATED CARBON 1L,89.85,103.33,134.33,
AFM0105,AFM0105,CERAMIC NOODLES 500ml,89.85,103.33,134.33,
AFM0106,AFM0106,CERAMIC NOODLES 1L,87.45,100.57,130.74,
AFM0110,AFM0110,ZEOLITE AMMONIA REMOVER 500ml,87.45,100.57,130.74,
AFM0111,AFM0111,ZEOLITE AMMONIA REMOVER 1L,85.50,98.32,127.82,
AQD8003,AQD8003,DOPHIN MINI TANK GT-8003 12L,3163.80,3638.37,4729.88,
